total-sqft,house-sqft,price
7500,2874.00001,157900
0,6048,197000
6900,3375,185400
6960,4262.5,278100
8100,3997.25,263400
13720,5210.75,491000
8450,3265.5,327700
10500,4123,431200
7200,2722.5,284900
8456,4054,387600
5490,3681.75,264600
8050,3857.75,257500
5320,4195.25,303200
6223,3681.75,271900
8570,4625.75,322900
13875,4417.5,352300
7700,3067,242700
7332,4075.5,261800
13875,4856.5,369400
11100,3140,289000
12000,4039,439600
68389,10731,750000
16800,5591,379400
5100,2178,235100
10890,3696.5,309800
17556,4265.75,482800
20748,3652.5,496000
15260,3435.00001,334200
24048,4250.38,629300
7500,1650.75,102700
4750,3198,156600
0,5838,184600
4680,2630.40001,146800
6450,4974.5,176400
8500,2415,72600
8500,2415,72600
5780,2525,91100
3400,3672,174400
0,7776,221100
6150,2590,174900
0,20745,1156400
30125,13595,750600
30125,13595,750600
4925,1792,113700
9050,3240.25,71100
9050,3240.25,71100
3620,2542.80001,141000
3715,2901.25,149200
3715,2901.25,149200
3815,2599,139600
10800,2196.60001,161800
31996,5005,516500
48647,5509.80002,676400
40560,2652,448000
32289,4355.2,462000
32289,4355.2,462000
16800,4307.25,500400
19900,4149.25,497700
15840,3314.2,523200
16800,2225.80002,318800
16800,3016.08,382000
16000,3900,481600
16000,4325.40002,415000
14400,3674.60001,418700
14400,3674.60001,418700
0,8784,616900
13325,3915.5,345700
12090,3082,334300
20928,4340,466800
11770,3805,350200
8950,2157,247500
